id;latitude;longitude;genera_plant;genera_plan_ver;sp_plant;author_plant;sp_plant_ver;author_plant_ver;subfamily;genera_floralvisitor;genera_floralvisitor_ver;sp_floralvisitor;author_floralvisitor;sp_floralvisitor_ver;author_floralvisitor_ver;pollinator_group;bodypolendeposition;behaviour;relativefrequency
2488;-23,35;-48,77;Pseudobombax;Pseudobombax;grandiflorum;(Cav.) A. Robyns;grandiflorum;(Cav.) A. Robyns;Stenodermatinae;Platyrrhinus;Platyrrhinus;Platyrrhinus recifinus;(Thomas, 1901);Platyrrhinus recifinus;(Thomas, 1901);bat;sho;p;0.33
2488;-23,35;-48,77;Pseudobombax;Pseudobombax;grandiflorum;(Cav.) A. Robyns;grandiflorum;(Cav.) A. Robyns;Stenodermatinae;Platyrrhinus;Platyrrhinus;Platyrrhinus recifinus;(Thomas, 1901);Platyrrhinus recifinus;(Thomas, 1901);bat;win;p;0.33
2489;-23,35;-48,77;Vriesea;Vriesea;platynema;Gaudich.;platynema;Gaudich.;Glossophaginae;NA;NA;sp. 1;NA;sp. 1;NA;bat;chi;p;1
2489;-23,35;-48,77;Vriesea;Vriesea;platynema;Gaudich.;platynema;Gaudich.;Glossophaginae;NA;NA;sp. 1;NA;sp. 1;NA;bat;thr;p;1
2493;-22,75;-43,68;Pseudobombax;Pseudobombax;grandiflorum;(Cav.) A. Rob.;grandiflorum;(Cav.) A. Robyns;Glossophaginae;Glossophaga;Glossophaga;Glossophaga soricina;Pallas;Glossophaga soricina;(Pallas, 1766);bat;NA;p;NA
2494;-22,75;-43,68;Pseudobombax;Pseudobombax;grandiflorum;(Cav.) A. Rob.;grandiflorum;(Cav.) A. Robyns;Phyllostominae;Phyllostomus;Phyllostomus;Phyllostomus hastatus;Pallas;Phyllostomus hastatus;(Pallas, 1767);bat;NA;p;NA
2495;-22,75;-43,68;Lafoensia;Lafoensia;glyptocarpa;Koehne;glyptocarpa;Koehne;Stenodermatinae;Artibeus;Artibeus;Artibeus lituratus;Offers;Artibeus lituratus;(Olfers, 1818);bat;ros;p;NA
2496;-22,75;-43,68;Lafoensia;Lafoensia;glyptocarpa;Koehne;glyptocarpa;Koehne;Glossophaginae;Glossophaga;Glossophaga;Glossophaga soricina;(Pallas, 1766);Glossophaga soricina;(Pallas, 1766);bat;bac;p;NA
2496;-22,75;-43,68;Lafoensia;Lafoensia;glyptocarpa;Koehne;glyptocarpa;Koehne;Glossophaginae;Glossophaga;Glossophaga;Glossophaga soricina;(Pallas, 1766);Glossophaga soricina;(Pallas, 1766);bat;che;p;NA
2496;-22,75;-43,68;Lafoensia;Lafoensia;glyptocarpa;Koehne;glyptocarpa;Koehne;Glossophaginae;Glossophaga;Glossophaga;Glossophaga soricina;(Pallas, 1766);Glossophaga soricina;(Pallas, 1766);bat;win;p;NA
2497;-22,75;-43,68;Lafoensia;Lafoensia;glyptocarpa;Koehne;glyptocarpa;Koehne;Phyllostominae;Phyllostomus;Phyllostomus;Phyllostomus hastatus;Pallas;Phyllostomus hastatus;(Pallas, 1767);bat;NA;p;NA
2498;-22,75;-43,68;Lafoensia;Lafoensia;glyptocarpa;Koehne;glyptocarpa;Koehne;Stenodermatinae;Platyrrhinus;Platyrrhinus;Platyrrhinus lineatus;E. Geoffroy;Platyrrhinus lineatus;(É. Geoffroy, 1810);bat;che;p;NA
2498;-22,75;-43,68;Lafoensia;Lafoensia;glyptocarpa;Koehne;glyptocarpa;Koehne;Stenodermatinae;Platyrrhinus;Platyrrhinus;Platyrrhinus lineatus;E. Geoffroy;Platyrrhinus lineatus;(É. Geoffroy, 1810);bat;hea;p;NA
2498;-22,75;-43,68;Lafoensia;Lafoensia;glyptocarpa;Koehne;glyptocarpa;Koehne;Stenodermatinae;Platyrrhinus;Platyrrhinus;Platyrrhinus lineatus;E. Geoffroy;Platyrrhinus lineatus;(É. Geoffroy, 1810);bat;ros;p;NA
2509;-22,75;-43,68;Bauhinia;Bauhinia;purpurea;L.;purpurea;Wall.;Glossophaginae;Glossophaga;Glossophaga;Glossophaga soricina;(Pallas, 1766);Glossophaga soricina;(Pallas, 1766);bat;NA;l;NA
2510;-22,75;-43,68;Chorisia;Ceiba;speciosa;St. Hill.;speciosa;(A. St.-Hil.) Ravenna;Glossophaginae;Glossophaga;Glossophaga;Glossophaga soricina;(Pallas, 1766);Glossophaga soricina;(Pallas, 1766);bat;NA;NA;NA
2511;-22,75;-43,68;Kigelia;Kigelia;africana;Benth.;africana;(Lam.) Benth.;Glossophaginae;Glossophaga;Glossophaga;Glossophaga soricina;(Pallas, 1766);Glossophaga soricina;(Pallas, 1766);bat;NA;NA;NA
2642;-22,41;-42,74;Musa;Musa;paradisiaca;L.;paradisiaca;L.;Lonchophyllinae;Lonchophylla;Lonchophylla;Lonchophylla peracchii;Dias, Esbérard & Moratelli, 2013;Lonchophylla peracchii;Dias, Esbérard & Moratelli, 2013;bat;NA;NA;NA
2718;-23,35;-48,77;Passiflora;Passiflora;mucronata;Lam.;mucronata;Lam.;Glossophaginae;Anoura;Anoura;Anoura caudifer;É Geoffroy Saint-Hilaire;Anoura caudifer;(É. Geoffroy, 1818);bat;hea;p;NA
2719;-23,35;-48,77;Passiflora;Passiflora;mucronata;Lam.;mucronata;Lam.;Carolliinae;Carollia;Carollia;Carollia perspicillata;Linnaeus;Carollia perspicillata;(Linnaeus, 1758);bat;hea;p;NA
2720;-23,35;-48,77;Passiflora;Passiflora;mucronata;Lam.;mucronata;Lam.;Glossophaginae;Glossophaga;Glossophaga;Glossophaga soricina;Pallas;Glossophaga soricina;(Pallas, 1766);bat;hea;p;NA
2721;-20,58;-44,83;Passiflora;Passiflora;galbana;Mast.;silvestris;Vell.;Glossophaginae;NA;NA;sp. 2;NA;sp. 2;NA;bat;hea;p;NA
2732;-22,92;-43,32;Dyssochroma;Dyssochroma;viridiflora;(Sims) Miers;viridiflorum;(Sims) Miers;Glossophaginae;Anoura;Anoura;Anoura caudifer;Gray;Anoura caudifer;(É. Geoffroy, 1818);bat;bel;p;NA
2733;-20,75;-42,85;Mabea;Mabea;fistulifera;Mart.;fistulifera;Mart.;Stenodermatinae;Artibeus;Artibeus;Artibeus lituratus;Offers;Artibeus lituratus;(Olfers, 1818);bat;bel;p;NA
